154.333,73
165.333,67.333
166.667,80
152.333,85
162.333,93.667
175,93
176,75.667
189.333,72.667
187.333,83
197.333,59.333
203,52.667
209.667,64.667
211.667,74.667
229.333,68.667
243.333,80.333
218.667,89.667
231.333,95.667
250.333,93.667
243,102
263.333,98.333
265.333,109.333
254,106.667
245.667,114
257,123.667
264,132.667
258,144.333
246.333,139.667
244.333,128.667
233,119
232.667,107.333
221.667,106.333
220.333,115.667
208,103
198,93.333
199,106.667
192,113.667
181.667,107
176.667,118
172,108
164.333,120.667
174.333,133.333
186,129
209.333,141
225.667,142.333
238.667,147
238,162.667
228.333,154.333
218.333,151.667
221,165
209.333,162
205.667,154.333
198,164.667
199.667,177.333
212,175.333
228,177
241,175.333
245.333,188.667
235.667,188.333
237,203.333
220,188.667
209,197.667
200.333,188.667
190,183.667
178.667,180.667
196.333,203.667
219.333,208.333
208,211
193,215.667
201.333,225.667
210.333,234.667
194.333,231
178.667,221.333
161.667,232.333
173,234
157.333,246.333
169.667,247
194,243.667
143.667,247.333
131.333,245.333
128.333,233.667
111.333,210.667
122.333,197.667
129,189.333
117,185
105.667,195
143,162.667
136.333,174
134.333,152.333
154.333,148
178,147.333
164.333,144
146.333,139.667
99,153.333
99,142.333
109.333,149
91.333,127.667
114.667,109.667
143.333,111.333
142,103.667
131,101.333
129.667,111.667
104.667,180.667
187,157
179.667,168.333
187,94.667
174,210
167.667,221.333
160.333,212
157,134
113.333,134.667
106.667,124
122,142.667
